Fecha;inflacion_esperada_12_meses
31/01/2017;19.7
28/02/2017;19.5
31/03/2017;18.4
30/04/2017;17.5
31/05/2017;17
30/06/2017;17
31/07/2017;17.1
31/08/2017;17.2
30/09/2017;16.9
31/10/2017;17.3
30/11/2017;17.5
31/12/2017;17.4
31/01/2018;18.6
28/02/2018;17.6
31/03/2018;17.8
30/04/2018;18.2
31/05/2018;22.2
30/06/2018;24.2
31/07/2018;23.7
31/08/2018;31.5
30/09/2018;31.9
31/10/2018;30.6
30/11/2018;28.6
31/12/2018;28.7
31/01/2019;28.5
28/02/2019;29
31/03/2019;30.7
30/04/2019;31.4
31/05/2019;31
30/06/2019;30
31/07/2019;30.2
31/08/2019;48.3
30/09/2019;48
31/10/2019;48.2
30/11/2019;45.6
31/12/2019;42.2
31/01/2020;40
29/02/2020;39.9
31/03/2020;39.5
30/04/2020;49
31/05/2020;51
30/06/2020;52.5
31/07/2020;51.9
31/08/2020;51.2
30/09/2020;50.5
31/10/2020;52.1
30/11/2020;52.5
31/12/2020;49.8
31/01/2021;49.4
28/02/2021;45
31/03/2021;43.1
30/04/2021;43.3
31/05/2021;43.3
30/06/2021;42.9
31/07/2021;43.2
31/08/2021;43.7
30/09/2021;45.6
31/10/2021;48.6
30/11/2021;52.3
31/12/2021;54.8
31/01/2022;53.9
28/02/2022;52.9
31/03/2022;55.4
30/04/2022;56.1
31/05/2022;60.1
30/06/2022;68.8
31/07/2022;83.7
31/08/2022;90.5
30/09/2022;94.1
31/10/2022;98.8
30/11/2022;100.7
31/12/2022;98.4
31/01/2023;98.5
28/02/2023;103.5
31/03/2023;113.3
30/04/2023;146.5
31/05/2023;171.1
30/06/2023;161.4
31/07/2023;154.9
31/08/2023;197.5
30/09/2023;185.9
31/10/2023;195.6
30/11/2023;226.7
31/12/2023;213
31/01/2024;183.2
29/02/2024;146.9
31/03/2024;120
30/04/2024;88
31/05/2024;68.9
